author,genre,link,name,rating,viewed
Yoo Song Joo,"Romance,Webtoons","Hyun Eun Suh, age 7. She was taken care of by the CEO Cha Deok Man, who regarded her great-grandfather as a great benefactor. 15 years later, CEO Cha collapsed after falling ill, and so wanted her to marry one of his grand-sons?! The conglomerate’s future depends on Eun-Suh who was loved more than CEO Cha’s own descendants! During this time, Cha Jin Ha who was like her real older brother dropped a huge announcement? “Miss, are you still considering who you want to marry? Of course, you have to marry me.” A man who she cares for most in the world and yet someone whose feelings remain indecipherable, can she trust him?",As The Lady Wishes,4.66,"1,271,536"
Updating,"Action,Adventure,Fantasy","One hundred thousand years ago, when the human race rose, the new Demon Emperor Xiao Ting and the old Demon Emperor were bullied by the strong human race. The old Demon Emperor finally passed away in depression. Xiao Ting retreats in anger, vowing not to bring down the most precious treasure of the demon clan, “The Demon Emperor Sutra”, and vowed not to leave the customs successfully after his cultivation! In the 100,000-year Canghai Cangtian, Xiao Ting accidentally cultivated the “Devil Emperor Sutra” with only 10 floors to the 99999 floors…On the day of exit, Xiao Ting accidentally obtained the “Devil Emperor Development System”, but… The humble little system, seeing Xiao Ting, who was already at full level, couldn't help expressing a pitiful feeling: all fairy tales are deceptive! Say good newcomers have a lot of oil and water? Can the newcomer system dominate and be fearless? Xiao Ting looked at the cute system full of bags: I heard that your system likes commanding the host? Humble System: Abba, Ababa…",The Great Devil Emperor Development System,4.59,"1,864,973"
Sing Shong,"Action,Adventure,Fantasy,Webtoons","‘This is a development that I know of.’ The moment he thought that, the world had been destroyed, and a new universe had unfolded. The new life of an ordinary reader begins within the world of the novel, a novel that he alone had finished.",Omniscient Reader’S Viewpoint,4.81,"36,140,427"
Kwon Jung-A,"Fantasy,Romance,Shoujo","Dian is a maid working for the Marquis of Lowell. To help her lady escape from an unwanted marriage, Dian sends her out the country and assumes her identity, going to the castle of Margrave Evenhart in her stead. The Evenhart family, famous for guarding the North for generations, but never leaving their territory, is a subject of great mystery to the outside world. Will Dian’s identity be discovered? What romantic story will unfold in these days of cohabitation?",As Long As You Like It,4.8,"3,107,018"
Updating,"Fantasy,Romance","Reina was born from a high noble lineage and became the wife of Duke Heathville. However, she faces a miserable death in which she is despised by her loved one, and even her child is taken away from her. But when Reina finally gave up on everything…she was given a second chance. «This time, I won't turn a blind eye to whatever I see!» Reina summoned her courage and began to live her second life. « Edhart. I know everything now, and I hate you.» Reina realizes now how ignorant she was in the past. “I'm going to divorce you.” Even the husband that she once loved. “Alright.” Her husband, who she thought had despised her, was crying.",The Duchess Of The Glass Greenhouse,4.47,"2,233,009"
Updating,"Drama,Fantasy,Romance,Shoujo","I reincarnated in a novel inside the body of a villainess named Elise who poisoned herself when her fiancé, the prince, married her childhood friend, the maid Helena. From the moment I realized this, I had only one goal. Escape from the world in this novel. Even after death, I tried to get out of this world but the ‘world' did not allow it. However, after rejecting the path of “Elise” in the original novel, the men who had persecuted and ignored Eris began to beg for her interest and affection. “Who are you?” the priest who revived Helena asked. “You… are you really Elise?” even the warrior who pledged eternal loyalty to Helena asked. “You have changed,” said the prince who rejected Elise in order to marry Helena. It was strange. No one was interested in Elise before. “I don't want to get affectionate even as time passes.” She has no confidence in loving this world.",Kill The Villainess,4.78,"4,586,121"
Gong Eunhwa,"Comedy,Drama,Fantasy,Romance","The villainess is getting married to the villain?! Lily, a former villainess was killed by the man she loved. She was punished for her evil deeds, but when she woke up, she looked the same as before but was a supporting character in a novel. “While I’m being abused by my stepmother every day, I’m also engaged to a trashy man?!” Determined to reflect on her past mistakes and live a good life this time, she enters into a contract marriage with the future villain of the story in order to change his fate and leave her stepmother and two stepsisters behind. “I do not need love to live a good life!” ~The (now good) life of a former villainess who became the supporting character of a novel~",The Evil Cinderella Needs A Villain,4.69,"2,561,959"
极漫文化 源创优加,"Action,Drama,Fantasy,Historical,Romance","The original owner died at the hands of others, the next second the successor of the Heaven’s Godly Healing Needle crawled out of the grave! Clothes bloodied red; heart ice cold! Nasty relatives? No worries! One prick of a silver needle guarantees obedience! Appearance ruined and fingers broken? Can’t practice medicine or cultivate? Easy! Fix appearance, reform muscles and bones, dazzle and blind every bastard’s eyes! He, is Xia Dynasty’s most adored official; arrogant and addicted to killing. Yet the first time he saw her, he immediately entered wife-pampering mode. She, who returned mightily, with world shocking abilities, relied on her poison needle to aid him in achieving dominance.",Poisonous Doctor: First Wife’S Daughter,4.45,"813,856"
자은향,"Drama,Fantasy,Romance,Webtoons","Adele was adopted in replacement of a lady who died from a rare disease. She worked her entire life so she would be loved, but as soon as her younger sister was born, she was abandoned. Then on Adele’s way to an arranged marriage, she was assassinated by mysterious enemies. “…Is this a dream?” But when she opened her eyes, she returned to 3 years in the past! Since she is destined to be abandoned when her younger sister is born, this time around, she tries to live the way she wants, but things keep going wrong. “Weren’t you interested in me?” And a mysterious knight in black keeps pursuing her…",Please Throw Me Away,4.55,"8,249,133"
Yue Xia Hun Xiao,"Iciyuan,Drama,Josei,Romance,Smut","Jianmo, known as the 'Campus Flower' gets separated from the other party after her boyfriend decides to study overseas after graduation. The couple decides to keep a distant relationship and wait for the other partner before starting their new life together.",The Expensive Ex-Wife Of A Wealthy Family,3.92,"14,048,894"
Hyeon-Sook Lee,"Cyung-Chan Noh,Action,Comedy,Drama,Fantasy,Martial arts,Slice of life,Webtoons","Its an amazing story about one martial arts journey through marriage, fatherhood, and battles.",Peerless Dad,4.82,"51,610,126"
Cancan,"Kuaikan Comics,Summerzoo,Comedy,Drama,Gender bender,Romance,School life,Slice of life","Sam Xiang is both the latest heartthrob and top dog at her new school, so why is she so heartbroken? For starters, all the teachers and students think she's a boy! That, along with her strong sense of justice and martial art skills, has made her the enemy of every delinquent in school! Worst of all, her crush, Ryan, has officially bro-zoned her! In spite of it all, Sam is determined to use this dilemma to her advantage. Will Sam finally be victorious in the battle for love?",Fighting For Love,4.39,"219,501"
Xue Xiao Tu,"Hamster Ning Ning,Comedy,Romance,Shoujo,Slice of life,Webtoons","A car accident allowed her to cross the magical world, she was reincarnated to a baby! She participated in a competition and won. Then, she was adopted by the emperor and became a princess. However, the other adopted princesses are all given with luxury treatment. But why is it that only she lives in small firewood house? She is also beaten and bullied by the other princesses? She will do whatever it takes to fight back. When she shows a brave fighting spirit, the cold-blooded emperor finally came and said to her: ""This little brat, is a little interesting.""",I Became The Emperor's Daughter One Day,3.81,"15,033,839"
Seong Euntae,"Fantasy,Romance,Slice of life,Webtoons","I don’t want to be the empress! Serena, the daughter of a noble is full of intelligence, status and appearance. But the truth is that she said that in her past life she was aware of the tragedies that could occur in the future. It will be that Serena can escape from this tragedy!",I Don’T Want To Be Empress!,4.66,"10,470,946"
Bless,"Drama,Romance","One is careless and the other is cold, expressionless, and independent in mind. Once they meet under the sunset, what kind of bonds will these two young people create?",Love Under The Sunset,4.75,"129,688"
Updating,"Historical,Romance,Webtoons","Her unfortunate life began with a marriage of which the two families didn’t match. Her first husband detested her for killing his first love; her second husband, despite showing great favor, only regarded her as a substitute? Now that Jiang Si has entered her new present life, she is determined to define destiny all by herself!",The Brocaded Tale Of The Girl Si,4.61,"1,828,332"
Sungho Park,"Action,Adventure,Comedy,Shounen","“If you wish to return, then you must find all the stones of the Dragon’s Heart!“ And so, Lee started his adventure to become an unparalleled mage. Which bonds will he found? Thats all up to him, to discover…",Wizard Of Arsenia,4.27,"4,677,653"
Choi Byung Yeol,"Action,Adventure,Comedy,Martial arts,Romance,School life,Shounen,Webtoons","Delinquency has become a major problem among the youth, especially the high school population. Taking the matter into their own hands, the government has created a special school just for these troubled youths. Kang Hae Hyo, a seemingly normal high school student who is bullied frequently, somehow ends up in the school! He's not sure he belongs there, but something about him, and his past, may be discovered at this school…",Ultimate Legend – Kang Hae Hyo,3.77,"1,892,294"
Updating,"Historical,Josei,Romance","A miracle-working medic is reborn into a fantasy world to help a poor soul seek revenge. There, she activates the face-slapping system, refines pills, practices cultivation, fights against monsters, and conquers the strongest man on the continent. Watch how fortune smiles upon her as she reaches the peak of her life!",The Unbridled Medical Consort,4.66,"1,464,839"
Ming Bae,"Action,Adventure,Historical,Sports,Tragedy","In the second half of the 2nd century, Naru, a warrior from the Mahan tribal union of Goguryeo, was sold as a gladiator-slave to the Roman Empire and waged a desperate struggle for freedom.",The Long Way Of The Warrior,4.44,"844,568"
Erciyuan,"飒飒动漫,Fantasy,Romance,Webtoons","A marriage alliance between two influential magical families was made, turning Mo Yan and Xuanyuan Yu a married couple. But during the night of their consummation, Mo Yan was ruthless in his words after overhearing a rumor about his wife being in love with another person. He thought she’d be fuming mad, but she wasn’t worked up at all. It made him taken aback instead! The power-loving matriarch of the Mo family saw Xuanyuan Yu as an eyesore and locked her up in the ancestral shrine. A demon made a surprise attack, but she was defenseless! If Mo Yan didn’t arrive in time, something bad might’ve happened to her! It seemed as if the relationship between Mo Yan and Xuanyuan Yu got better after that, but, things aren’t that simple… Xuanyuan Yu’s cold actors towards him and the truth that she’s been hiding… Will they truly be together?",Mejaz Regulus In The World – Webtoon,4.38,"1,531,645"
Gi Meng-Gi,"Drama,Psychological,Romance","Cheon Lisa has been acting since she was little, building a good reputation with her amazing acting skills and kind image. Until one day, she announced her retirement after she was embroiled in a drug scandal.",No Longer A Heroine!,4.69,"582,702"
Gunai,"Hm Heros,Kuaikan Comics,Xiangwang,Drama,Romance","Marriage before love, the devil presidnet VS the rebellious girl “Xia Weiyi, we're legally married. You are rightfully mine, and mine only!” Xia Weiyi's chivalrous dreamlover proposed to her obnoxious step-sister. In a pit of temper, Weiyi married her childhood sweetheart Gu Yiran – a decision she regretted to make immediately… “Gu Yiran, that was a mistake! I want a divorce!” “It's too late. Now that I've got a hold of you, I'll never let you go!” The girl who wanted to run away didn't expect that she would slowly fall into the sweep trap this scheming president wove.",The Trap Of Mollycoddling,4.16,"200,064"
King Productions,"S.m.s,Drama,Romance,School life,Shoujo","Welcome to Krisopras Highschool, the most elite and prestigious school in the country! Yet, it's kind of weird… why does this elite school hide the identities of its student council members?",Who’S Mr. President?,4.63,"88,266"
